subj subexpt related semint n2num errnd errd errcornd errcord list
43 SemRel nullrelated integ plur 0 0 0 0 3
43 SemRel nullrelated integ sing 0 0 3 3 3
43 SemRel nullrelated unint plur 0 0 3 3 3
43 SemRel nullrelated unint sing 0 0 0 1 3
44 SemRel nullrelated integ plur 0 0 5 5 4
44 SemRel nullrelated integ sing 0 0 5 5 4
44 SemRel nullrelated unint plur 0 0 5 5 4
44 SemRel nullrelated unint sing 0 0 4 4 4
45 SemRel nullrelated integ plur 0 0 3 3 5
45 SemRel nullrelated integ sing 0 0 4 4 5
45 SemRel nullrelated unint plur 0 0 4 4 5
45 SemRel nullrelated unint sing 0 0 5 5 5
46 SemRel nullrelated integ plur 0 0 4 4 6
46 SemRel nullrelated integ sing 0 0 4 6 6
46 SemRel nullrelated unint plur 0 0 3 4 6
46 SemRel nullrelated unint sing 0 0 3 3 6
47 SemRel nullrelated integ plur 0 0 3 3 7
47 SemRel nullrelated integ sing 0 0 1 1 7
47 SemRel nullrelated unint plur 0 0 2 2 7
47 SemRel nullrelated unint sing 0 0 1 1 7
48 SemRel nullrelated integ plur 0 0 0 0 8
48 SemRel nullrelated integ sing 0 0 1 1 8
48 SemRel nullrelated unint plur 0 0 4 4 8
48 SemRel nullrelated unint sing 0 0 1 3 8
49 SemRel nullrelated integ plur 0 0 1 1 1
49 SemRel nullrelated integ sing 0 0 6 6 1
49 SemRel nullrelated unint plur 0 0 1 2 1
49 SemRel nullrelated unint sing 0 0 0 0 1
51 SemRel nullrelated integ plur 0 0 3 3 3
51 SemRel nullrelated integ sing 0 0 2 2 3
51 SemRel nullrelated unint plur 0 0 3 3 3
51 SemRel nullrelated unint sing 0 0 3 4 3
52 SemRel nullrelated integ plur 0 0 1 1 4
52 SemRel nullrelated integ sing 0 0 4 4 4
52 SemRel nullrelated unint plur 1 1 3 3 4
52 SemRel nullrelated unint sing 0 0 2 2 4
53 SemRel nullrelated integ plur 0 0 3 3 5
53 SemRel nullrelated integ sing 0 0 5 5 5
53 SemRel nullrelated unint plur 0 0 4 4 5
53 SemRel nullrelated unint sing 0 0 3 3 5
54 SemRel nullrelated integ plur 0 0 1 1 6
54 SemRel nullrelated integ sing 0 0 2 2 6
54 SemRel nullrelated unint plur 0 0 2 3 6
54 SemRel nullrelated unint sing 0 0 1 1 6
55 SemRel nullrelated integ plur 0 0 2 3 7
55 SemRel nullrelated integ sing 0 0 4 4 7
55 SemRel nullrelated unint plur 0 0 2 3 7
55 SemRel nullrelated unint sing 0 0 1 1 7
56 SemRel nullrelated integ plur 1 1 3 3 8
56 SemRel nullrelated integ sing 0 0 1 1 8
56 SemRel nullrelated unint plur 0 0 3 3 8
56 SemRel nullrelated unint sing 0 0 3 3 8
57 SemRel nullrelated integ plur 0 0 0 0 1
57 SemRel nullrelated integ sing 0 0 3 3 1
57 SemRel nullrelated unint plur 0 0 2 2 1
57 SemRel nullrelated unint sing 0 0 1 1 1
58 SemRel nullrelated integ plur 0 0 1 2 2
58 SemRel nullrelated integ sing 0 0 2 2 2
58 SemRel nullrelated unint plur 0 0 0 0 2
58 SemRel nullrelated unint sing 0 0 3 3 2
59 SemRel nullrelated integ plur 0 0 3 3 3
59 SemRel nullrelated integ sing 0 0 3 3 3
59 SemRel nullrelated unint plur 0 0 4 4 3
59 SemRel nullrelated unint sing 0 0 2 3 3
60 SemRel nullrelated integ plur 0 0 1 1 4
60 SemRel nullrelated integ sing 0 0 2 2 4
60 SemRel nullrelated unint plur 0 0 1 2 4
60 SemRel nullrelated unint sing 0 0 4 4 4
61 SemRel nullrelated integ plur 0 0 0 0 5
61 SemRel nullrelated integ sing 0 0 1 2 5
61 SemRel nullrelated unint plur 0 0 1 1 5
61 SemRel nullrelated unint sing 0 0 3 3 5
62 SemRel nullrelated integ plur 0 0 2 2 6
62 SemRel nullrelated integ sing 0 0 1 1 6
62 SemRel nullrelated unint plur 0 0 3 3 6
62 SemRel nullrelated unint sing 0 0 1 1 6
63 SemRel nullrelated integ plur 0 0 4 4 7
63 SemRel nullrelated integ sing 0 0 3 3 7
63 SemRel nullrelated unint plur 0 0 3 3 7
63 SemRel nullrelated unint sing 0 0 5 5 7
64 SemRel nullrelated integ plur 1 1 1 1 8
64 SemRel nullrelated integ sing 0 0 5 5 8
64 SemRel nullrelated unint plur 0 0 4 4 8
64 SemRel nullrelated unint sing 0 0 4 4 8
65 SemRel nullrelated integ plur 0 0 1 1 1
65 SemRel nullrelated integ sing 0 0 3 3 1
65 SemRel nullrelated unint plur 1 1 1 1 1
65 SemRel nullrelated unint sing 0 0 1 1 1
66 SemRel nullrelated integ plur 1 1 3 3 2
66 SemRel nullrelated integ sing 0 0 5 5 2
66 SemRel nullrelated unint plur 1 1 5 5 2
66 SemRel nullrelated unint sing 0 0 5 5 2
67 SemRel nullrelated integ plur 0 0 4 4 3
67 SemRel nullrelated integ sing 0 0 5 5 3
67 SemRel nullrelated unint plur 0 0 3 3 3
67 SemRel nullrelated unint sing 0 0 4 4 3
68 SemRel nullrelated integ plur 0 0 2 3 4
68 SemRel nullrelated integ sing 0 0 1 2 4
68 SemRel nullrelated unint plur 0 0 0 0 4
