subj subexpt semint related n2num errnd errd errcornd errcord list
43 SemRel integ rel plur 0 0 0 0 3
43 SemRel integ rel sing 0 0 1 1 3
43 SemRel integ unrel plur 0 0 0 0 3
43 SemRel integ unrel sing 0 0 2 2 3
43 SemRel unint rel plur 0 0 1 1 3
43 SemRel unint rel sing 0 0 0 0 3
43 SemRel unint unrel plur 0 0 2 2 3
43 SemRel unint unrel sing 0 0 0 1 3
44 SemRel integ rel plur 0 0 2 2 4
44 SemRel integ rel sing 0 0 3 3 4
44 SemRel integ unrel plur 0 0 3 3 4
44 SemRel integ unrel sing 0 0 2 2 4
44 SemRel unint rel plur 0 0 2 2 4
44 SemRel unint rel sing 0 0 2 2 4
44 SemRel unint unrel plur 0 0 3 3 4
44 SemRel unint unrel sing 0 0 2 2 4
45 SemRel integ rel plur 0 0 1 1 5
45 SemRel integ rel sing 0 0 2 2 5
45 SemRel integ unrel plur 0 0 2 2 5
45 SemRel integ unrel sing 0 0 2 2 5
45 SemRel unint rel plur 0 0 2 2 5
45 SemRel unint rel sing 0 0 3 3 5
45 SemRel unint unrel plur 0 0 2 2 5
45 SemRel unint unrel sing 0 0 2 2 5
46 SemRel integ rel plur 0 0 1 1 6
46 SemRel integ rel sing 0 0 1 3 6
46 SemRel integ unrel plur 0 0 3 3 6
46 SemRel integ unrel sing 0 0 3 3 6
46 SemRel unint rel plur 0 0 3 3 6
46 SemRel unint rel sing 0 0 3 3 6
46 SemRel unint unrel plur 0 0 0 1 6
46 SemRel unint unrel sing 0 0 0 0 6
47 SemRel integ rel plur 0 0 0 0 7
47 SemRel integ rel sing 0 0 1 1 7
47 SemRel integ unrel plur 0 0 3 3 7
47 SemRel integ unrel sing 0 0 0 0 7
47 SemRel unint rel plur 0 0 1 1 7
47 SemRel unint rel sing 0 0 1 1 7
47 SemRel unint unrel plur 0 0 1 1 7
47 SemRel unint unrel sing 0 0 0 0 7
48 SemRel integ rel plur 0 0 0 0 8
48 SemRel integ rel sing 0 0 0 0 8
48 SemRel integ unrel plur 0 0 0 0 8
48 SemRel integ unrel sing 0 0 1 1 8
48 SemRel unint rel plur 0 0 2 2 8
