S	subexp	semint	related	n2num	end	errd	cnd	errcord	list
202	SemRel	integ	rel	plur	0	0	1	1	2
203	SemRel	integ	rel	plur	0	0	1	2	3
204	SemRel	integ	rel	plur	0	0	0	0	4
205	SemRel	integ	rel	plur	0	0	1	1	5
206	SemRel	integ	rel	plur	0	0	3	3	6
207	SemRel	integ	rel	plur	0	0	1	1	7
208	SemRel	integ	rel	plur	0	0	1	1	8
209	SemRel	integ	rel	plur	0	0	1	1	1
210	SemRel	integ	rel	plur	1	1	3	3	2
211	SemRel	integ	rel	plur	0	0	0	0	3
212	SemRel	integ	rel	plur	0	0	1	1	4
213	SemRel	integ	rel	plur	0	0	2	2	5
214	SemRel	integ	rel	plur	0	0	0	0	6
215	SemRel	integ	rel	plur	1	1	2	2	7
216	SemRel	integ	rel	plur	0	0	2	2	8
217	SemRel	integ	rel	plur	0	0	0	0	1
218	SemRel	integ	rel	plur	0	0	1	1	2
220	SemRel	integ	rel	plur	0	0	2	2	4
221	SemRel	integ	rel	plur	0	0	2	2	5
222	SemRel	integ	rel	plur	0	0	2	2	6
223	SemRel	integ	rel	plur	2	2	3	3	7
224	SemRel	integ	rel	plur	0	0	0	0	8
225	SemRel	integ	rel	plur	0	0	1	1	1
226	SemRel	integ	rel	plur	2	2	3	3	2
227	SemRel	integ	rel	plur	0	0	2	2	3
228	SemRel	integ	rel	plur	0	0	1	1	4
229	SemRel	integ	rel	plur	0	0	1	1	5
230	SemRel	integ	rel	plur	0	0	2	2	6
231	SemRel	integ	rel	plur	0	1	0	1	7
232	SemRel	integ	rel	plur	0	0	1	1	8
233	SemRel	integ	rel	plur	0	0	2	2	1
234	SemRel	integ	rel	plur	0	0	3	3	2
235	SemRel	integ	rel	plur	0	0	3	3	3
236	SemRel	integ	rel	plur	0	0	2	2	4
237	SemRel	integ	rel	plur	0	0	2	2	5
238	SemRel	integ	rel	plur	0	0	0	0	6
239	SemRel	integ	rel	plur	0	0	1	1	7
240	SemRel	integ	rel	plur	0	0	0	0	8
241	SemRel	integ	rel	plur	0	0	2	2	1
242	SemRel	integ	rel	plur	2	2	2	2	2
243	SemRel	integ	rel	plur	0	0	1	1	3
244	SemRel	integ	rel	plur	0	0	2	2	4
1	SemRel	integ	unrel	plur	0	0	2	2	1
2	SemRel	integ	unrel	plur	0	0	0	0	2
3	SemRel	integ	unrel	plur	0	0	1	2	3
4	SemRel	integ	unrel	plur	0	0	3	3	4
5	SemRel	integ	unrel	plur	0	0	0	0	5
6	SemRel	integ	unrel	plur	0	0	1	2	6
7	SemRel	integ	unrel	plur	0	0	0	1	7
8	SemRel	integ	unrel	plur	0	0	2	2	8
9	SemRel	integ	unrel	plur	0	0	2	2	1
10	SemRel	integ	unrel	plur	0	0	1	1	2
11	SemRel	integ	unrel	plur	0	0	2	2	3
12	SemRel	integ	unrel	plur	0	0	3	3	4
13	SemRel	integ	unrel	plur	0	0	1	1	5
14	SemRel	integ	unrel	plur	0	0	0	0	6
15	SemRel	integ	unrel	plur	0	0	1	2	7
16	SemRel	integ	unrel	plur	0	0	0	2	8
17	SemRel	integ	unrel	plur	0	0	1	1	1
18	SemRel	integ	unrel	plur	1	1	1	1	2
19	SemRel	integ	unrel	plur	0	0	2	2	3
20	SemRel	integ	unrel	plur	0	0	1	2	4
21	SemRel	integ	unrel	plur	0	0	3	3	5
22	SemRel	integ	unrel	plur	1	1	1	1	6
23	SemRel	integ	unrel	plur	0	0	2	2	7
24	SemRel	integ	unrel	plur	0	0	1	1	8
25	SemRel	integ	unrel	plur	0	0	2	2	1
26	SemRel	integ	unrel	plur	0	0	2	3	2
27	SemRel	integ	unrel	plur	0	0	1	1	3
28	SemRel	integ	unrel	plur	0	0	2	2	4
29	SemRel	integ	unrel	plur	0	0	2	2	5
30	SemRel	integ	unrel	plur	1	1	2	2	6
31	SemRel	integ	unrel	plur	0	0	0	1	7
32	SemRel	integ	unrel	plur	0	0	0	0	8
33	SemRel	integ	unrel	plur	0	0	0	0	1
34	SemRel	integ	unrel	plur	0	0	0	0	2
35	SemRel	integ	unrel	plur	0	0	2	2	3
36	SemRel	integ	unrel	plur	0	0	3	3	4
37	SemRel	integ	unrel	plur	1	1	1	1	5
38	SemRel	integ	unrel	plur	0	0	2	2	6
39	SemRel	integ	unrel	plur	0	0	1	1	7
40	SemRel	integ	unrel	plur	0	0	1	2	8
41	SemRel	integ	unrel	plur	0	0	2	2	1
42	SemRel	integ	unrel	plur	0	0	1	1	2
43	SemRel	integ	unrel	plur	0	0	0	0	3
44	SemRel	integ	unrel	plur	0	0	3	3	4
45	SemRel	integ	unrel	plur	0	0	2	2	5
46	SemRel	integ	unrel	plur	0	0	3	3	6
47	SemRel	integ	unrel	plur	0	0	3	3	7
48	SemRel	integ	unrel	plur	0	0	0	0	8
49	SemRel	integ	unrel	plur	0	0	0	0	1
51	SemRel	integ	unrel	plur	0	0	2	2	3
52	SemRel	integ	unrel	plur	0	0	0	0	4
53	SemRel	integ	unrel	plur	0	0	2	2	5
54	SemRel	integ	unrel	plur	0	0	1	1	6
55	SemRel	integ	unrel	plur	0	0	1	1	7
56	SemRel	integ	unrel	plur	0	0	2	2	8
57	SemRel	integ	unrel	plur	0	0	0	0	1
58	SemRel	integ	unrel	plur	0	0	0	0	2
59	SemRel	integ	unrel	plur	0	0	2	2	3
60	SemRel	integ	unrel	plur	0	0	1	1	4
61	SemRel	integ	unrel	plur	0	0	0	0	5
62	SemRel	integ	unrel	plur	0	0	1	1	6
63	SemRel	integ	unrel	plur	0	0	3	3	7
64	SemRel	integ	unrel	plur	0	0	0	0	8
65	SemRel	integ	unrel	plur	0	0	0	0	1
66	SemRel	integ	unrel	plur	0	0	1	1	2
67	SemRel	integ	unrel	plur	0	0	2	2	3
68	SemRel	integ	unrel	plur	0	0	1	1	4
69	SemRel	integ	unrel	plur	0	0	3	3	5
70	SemRel	integ	unrel	plur	0	0	0	0	6
71	SemRel	integ	unrel	plur	1	1	2	3	7
72	SemRel	integ	unrel	plur	0	0	0	0	8
73	SemRel	integ	unrel	plur	0	0	1	1	1
74	SemRel	integ	unrel	plur	0	0	1	1	2
75	SemRel	integ	unrel	plur	0	0	3	3	3
76	SemRel	integ	unrel	plur	0	0	2	2	4
77	SemRel	integ	unrel	plur	0	0	2	2	5
78	SemRel	integ	unrel	plur	0	0	1	1	6
79	SemRel	integ	unrel	plur	0	0	0	0	7
80	SemRel	integ	unrel	plur	0	0	2	2	8
81	SemRel	integ	unrel	plur	0	0	1	1	1
82	SemRel	integ	unrel	plur	0	0	1	1	2
83	SemRel	integ	unrel	plur	0	0	3	3	3
84	SemRel	integ	unrel	plur	0	0	3	3	4
85	SemRel	integ	unrel	plur	0	0	0	0	5
86	SemRel	integ	unrel	plur	0	0	3	3	6
87	SemRel	integ	unrel	plur	0	0	0	0	7
88	SemRel	integ	unrel	plur	0	0	1	2	8
89	SemRel	integ	unrel	plur	0	0	2	2	1
90	SemRel	integ	unrel	plur	0	0	1	1	2
91	SemRel	integ	unrel	plur	0	0	1	1	3
92	SemRel	integ	unrel	plur	0	0	2	2	4
93	SemRel	integ	unrel	plur	0	0	1	1	5
94	SemRel	integ	unrel	plur	0	0	2	2	6
95	SemRel	integ	unrel	plur	0	0	0	0	7
96	SemRel	integ	unrel	plur	0	0	1	1	8
97	SemRel	integ	unrel	plur	1	1	2	2	1
98	SemRel	integ	unrel	plur	0	0	0	0	2
99	SemRel	integ	unrel	plur	1	1	1	1	3
100	SemRel	integ	unrel	plur	0	0	1	1	4
101	SemRel	integ	unrel	plur	0	0	2	2	5
102	SemRel	integ	unrel	plur	0	0	2	2	6
103	SemRel	integ	unrel	plur	0	0	2	3	7
104	SemRel	integ	unrel	plur	0	0	2	2	8
105	SemRel	integ	unrel	plur	0	0	0	0	1
106	SemRel	integ	unrel	plur	0	0	1	1	2
107	SemRel	integ	unrel	plur	0	0	1	1	3
108	SemRel	integ	unrel	plur	0	0	1	1	4
109	SemRel	integ	unrel	plur	0	0	2	2	5
110	SemRel	integ	unrel	plur	0	0	1	2	6
111	SemRel	integ	unrel	plur	0	0	1	1	7
113	SemRel	integ	unrel	plur	0	0	2	2	1
114	SemRel	integ	unrel	plur	0	0	2	2	2
115	SemRel	integ	unrel	plur	0	0	3	3	3
116	SemRel	integ	unrel	plur	0	0	0	1	4
117	SemRel	integ	unrel	plur	0	0	1	2	5
118	SemRel	integ	unrel	plur	0	0	2	2	6
119	SemRel	integ	unrel	plur	1	1	2	2	7
120	SemRel	integ	unrel	plur	0	0	1	1	8
122	SemRel	integ	unrel	plur	0	0	1	1	2
123	SemRel	integ	unrel	plur	0	0	0	0	3
124	SemRel	integ	unrel	plur	0	0	1	2	4
125	SemRel	integ	unrel	plur	0	0	2	2	5
126	SemRel	integ	unrel	plur	0	0	2	2	6
127	SemRel	integ	unrel	plur	0	0	2	2	7
128	SemRel	integ	unrel	plur	1	1	1	1	8
129	SemRel	integ	unrel	plur	0	0	1	1	1
130	SemRel	integ	unrel	plur	0	0	0	0	2
131	SemRel	integ	unrel	plur	0	0	2	2	3
132	SemRel	integ	unrel	plur	0	0	3	3	4
133	SemRel	integ	unrel	plur	0	0	0	0	5
134	SemRel	integ	unrel	plur	0	0	2	2	6
135	SemRel	integ	unrel	plur	0	0	2	2	7
136	SemRel	integ	unrel	plur	1	1	2	3	8
137	SemRel	integ	unrel	plur	0	0	2	2	1
139	SemRel	integ	unrel	plur	0	0	0	0	3
140	SemRel	integ	unrel	plur	0	2	0	2	4
141	SemRel	integ	unrel	plur	0	0	1	1	5
142	SemRel	integ	unrel	plur	0	0	1	1	6
143	SemRel	integ	unrel	plur	0	1	2	3	7
144	SemRel	integ	unrel	plur	0	0	2	2	4
145	SemRel	integ	unrel	plur	0	0	1	1	1
146	SemRel	integ	unrel	plur	0	0	3	3	2
147	SemRel	integ	unrel	plur	0	0	3	3	3
