subj	subexpt	semint	related	n2num	errnd	errd	errcornd	errcord
62	Cat	unint	unrel	plur	0	0	1	1
62	Cat	unint	unrel	sing	0	0	3	3
63	Cat	unint	rel	plur	0	0	4	4
63	Cat	unint	rel	sing	0	0	4	4
63	Cat	unint	unrel	plur	0	0	4	4
63	Cat	unint	unrel	sing	0	0	1	1
64	Cat	unint	rel	plur	0	0	2	3
64	Cat	unint	rel	sing	0	0	3	3
64	Cat	unint	unrel	plur	0	0	2	3
64	Cat	unint	unrel	sing	0	0	4	4
65	Cat	unint	rel	plur	0	0	1	1
65	Cat	unint	rel	sing	0	0	2	2
65	Cat	unint	unrel	plur	0	0	2	2
65	Cat	unint	unrel	sing	0	0	2	3
66	Cat	unint	rel	plur	0	0	5	5
66	Cat	unint	rel	sing	0	0	3	3
66	Cat	unint	unrel	plur	0	0	3	3
66	Cat	unint	unrel	sing	0	0	5	5
67	Cat	unint	rel	plur	0	0	3	3
67	Cat	unint	rel	sing	0	0	3	3
67	Cat	unint	unrel	plur	0	0	2	2
67	Cat	unint	unrel	sing	0	0	3	3
68	Cat	unint	rel	plur	0	0	3	3
68	Cat	unint	rel	sing	0	0	5	5
68	Cat	unint	unrel	plur	1	1	4	4
68	Cat	unint	unrel	sing	0	0	5	5
69	Cat	unint	rel	plur	0	0	5	5
69	Cat	unint	rel	sing	0	0	3	4
69	Cat	unint	unrel	plur	2	2	3	3
69	Cat	unint	unrel	sing	0	0	3	3
70	Cat	unint	rel	plur	1	1	2	2
70	Cat	unint	rel	sing	0	0	1	1
70	Cat	unint	unrel	plur	0	0	1	1
70	Cat	unint	unrel	sing	0	0	3	3
71	Cat	unint	rel	plur	2	2	4	4
71	Cat	unint	rel	sing	0	0	0	0
71	Cat	unint	unrel	plur	1	1	2	2
71	Cat	unint	unrel	sing	0	0	1	1
72	Cat	unint	rel	plur	0	0	0	1
72	Cat	unint	rel	sing	0	0	2	2
72	Cat	unint	unrel	plur	0	0	1	1
72	Cat	unint	unrel	sing	0	0	1	3
73	Cat	unint	rel	plur	0	0	3	3
73	Cat	unint	rel	sing	0	0	6	6
73	Cat	unint	unrel	plur	0	0	4	4
73	Cat	unint	unrel	sing	0	0	3	3
74	Cat	unint	rel	plur	0	0	3	3
74	Cat	unint	rel	sing	0	0	3	3
74	Cat	unint	unrel	plur	0	0	3	3
74	Cat	unint	unrel	sing	0	0	3	3
75	Cat	unint	rel	plur	0	0	2	2
75	Cat	unint	rel	sing	0	0	1	2
75	Cat	unint	unrel	plur	0	0	3	3
75	Cat	unint	unrel	sing	0	0	2	3
76	Cat	unint	rel	plur	0	0	3	3
76	Cat	unint	rel	sing	0	0	4	4
76	Cat	unint	unrel	plur	0	0	4	4
76	Cat	unint	unrel	sing	0	0	2	2
77	Cat	unint	rel	plur	0	0	4	4
77	Cat	unint	rel	sing	0	0	1	2
77	Cat	unint	unrel	plur	1	1	3	3
77	Cat	unint	unrel	sing	0	0	2	2
78	Cat	unint	rel	plur	0	0	3	3
78	Cat	unint	rel	sing	0	0	3	3
78	Cat	unint	unrel	plur	0	0	3	3
78	Cat	unint	unrel	sing	0	0	5	5
80	Cat	unint	rel	plur	0	0	4	4
80	Cat	unint	rel	sing	0	0	4	4
80	Cat	unint	unrel	plur	0	0	2	2
80	Cat	unint	unrel	sing	0	0	1	1
81	Cat	unint	rel	plur	0	0	3	3
81	Cat	unint	rel	sing	0	0	2	2
81	Cat	unint	unrel	plur	1	1	4	4
81	Cat	unint	unrel	sing	0	0	3	3
82	Cat	unint	rel	plur	0	0	3	3
82	Cat	unint	rel	sing	0	0	4	4
82	Cat	unint	unrel	plur	0	0	3	3
82	Cat	unint	unrel	sing	0	0	4	4
83	Cat	unint	rel	plur	2	2	3	3
83	Cat	unint	rel	sing	0	0	2	2
83	Cat	unint	unrel	plur	1	1	2	2
83	Cat	unint	unrel	sing	0	0	0	0
84	Cat	unint	rel	plur	0	0	1	3
84	Cat	unint	rel	sing	0	0	3	3
84	Cat	unint	unrel	plur	0	0	1	1
84	Cat	unint	unrel	sing	0	0	2	2
85	Cat	unint	rel	plur	0	0	1	1
85	Cat	unint	rel	sing	0	0	2	2
85	Cat	unint	unrel	plur	0	0	2	2
85	Cat	unint	unrel	sing	0	0	1	2
86	Cat	unint	rel	plur	0	0	3	3
