S	subexp	related	n2num	end	errd	cnd	errcord	list
65	Prop	rel	plur	0	0	3	3	5
66	Prop	rel	plur	0	0	3	3	6
67	Prop	rel	plur	0	0	3	3	1
68	Prop	rel	plur	0	0	4	4	2
69	Prop	rel	plur	0	0	3	3	3
70	Prop	rel	plur	0	0	1	1	4
71	Prop	rel	plur	0	0	3	3	5
72	Prop	rel	plur	0	0	0	0	6
73	Prop	rel	plur	0	0	2	3	1
74	Prop	rel	plur	0	0	4	4	2
75	Prop	rel	plur	0	0	1	1	3
76	Prop	rel	plur	0	0	2	2	4
77	Prop	rel	plur	0	0	3	3	5
78	Prop	rel	plur	0	0	4	4	6
80	Prop	rel	plur	0	0	1	1	2
81	Prop	rel	plur	0	0	0	0	3
82	Prop	rel	plur	0	0	3	3	4
83	Prop	rel	plur	0	0	2	2	5
84	Prop	rel	plur	0	0	2	3	6
85	Prop	rel	plur	0	0	2	2	1
86	Prop	rel	plur	0	0	1	1	2
87	Prop	rel	plur	0	0	1	1	3
88	Prop	rel	plur	0	0	4	4	4
89	Prop	rel	plur	0	0	1	1	5
90	Prop	rel	plur	0	0	3	3	6
91	Prop	rel	plur	0	1	1	2	1
92	Prop	rel	plur	0	0	1	1	2
93	Prop	rel	plur	0	0	2	2	3
94	Prop	rel	plur	0	0	2	2	4
95	Prop	rel	plur	1	1	4	4	5
96	Prop	rel	plur	0	0	2	3	6
97	Prop	rel	plur	0	0	3	3	1
98	Prop	rel	plur	0	0	3	3	2
99	Prop	rel	plur	0	0	3	3	3
100	Prop	rel	plur	0	0	3	3	4
101	Prop	rel	plur	0	0	3	3	5
102	Prop	rel	plur	0	0	2	2	6
103	Prop	rel	plur	0	0	4	4	1
104	Prop	rel	plur	0	0	3	3	2
105	Prop	rel	plur	1	1	2	2	3
106	Prop	rel	plur	0	0	1	1	4
107	Prop	rel	plur	0	0	3	3	5
108	Prop	rel	plur	0	0	3	3	6
109	Prop	rel	plur	0	0	2	2	1
110	Prop	rel	plur	0	0	1	3	2
111	Prop	rel	plur	0	0	3	4	3
112	Prop	rel	plur	0	0	3	3	4
113	Prop	rel	plur	0	0	3	3	5
114	Prop	rel	plur	0	0	3	3	6
115	Prop	rel	plur	0	0	2	3	1
116	Prop	rel	plur	0	0	1	2	2
117	Prop	rel	plur	1	1	4	4	3
118	Prop	rel	plur	0	0	4	4	4
119	Prop	rel	plur	0	0	3	3	5
121	Prop	rel	plur	0	0	3	3	1
122	Prop	rel	plur	1	1	3	3	2
124	Prop	rel	plur	0	0	2	2	4
125	Prop	rel	plur	0	0	2	2	5
126	Prop	rel	plur	0	0	2	2	6
127	Prop	rel	plur	0	1	0	2	1
128	Prop	rel	plur	1	1	2	2	2
129	Prop	rel	plur	0	0	2	2	3
130	Prop	rel	plur	0	0	2	2	4
131	Prop	rel	plur	0	0	3	3	5
132	Prop	rel	plur	0	0	2	2	6
133	Prop	rel	plur	2	2	3	3	1
134	Prop	rel	plur	0	0	0	1	2
1	Prop	unrel	plur	0	0	2	2	1
2	Prop	unrel	plur	0	0	3	3	2
3	Prop	unrel	plur	0	0	3	3	3
4	Prop	unrel	plur	0	0	2	3	4
5	Prop	unrel	plur	0	0	2	2	5
6	Prop	unrel	plur	0	0	4	4	6
7	Prop	unrel	plur	1	1	2	2	1
8	Prop	unrel	plur	0	0	3	3	2
9	Prop	unrel	plur	0	0	1	1	3
10	Prop	unrel	plur	0	0	3	3	4
11	Prop	unrel	plur	0	0	3	3	5
12	Prop	unrel	plur	0	0	4	4	6
13	Prop	unrel	plur	1	1	3	3	1
14	Prop	unrel	plur	0	0	4	4	2
15	Prop	unrel	plur	0	0	3	3	3
16	Prop	unrel	plur	0	0	3	3	4
17	Prop	unrel	plur	1	1	3	3	5
18	Prop	unrel	plur	0	0	3	3	6
19	Prop	unrel	plur	0	0	3	4	1
20	Prop	unrel	plur	0	0	1	2	2
21	Prop	unrel	plur	0	0	3	3	3
22	Prop	unrel	plur	0	0	2	3	4
23	Prop	unrel	plur	0	0	1	2	5
24	Prop	unrel	plur	0	0	2	2	6
25	Prop	unrel	plur	0	0	1	2	1
26	Prop	unrel	plur	0	0	0	0	2
27	Prop	unrel	plur	0	0	4	4	3
28	Prop	unrel	plur	0	0	1	1	4
29	Prop	unrel	plur	0	0	1	1	5
30	Prop	unrel	plur	0	0	4	4	6
32	Prop	unrel	plur	0	0	3	3	2
33	Prop	unrel	plur	0	0	4	4	3
34	Prop	unrel	plur	0	0	4	4	4
35	Prop	unrel	plur	0	0	1	2	5
36	Prop	unrel	plur	0	0	1	1	6
