subj subexpt semint related n2num errnd errd errcornd errcord list
79 SemRel nullinteg unrel sing 0 0 4 4 7
80 SemRel nullinteg rel plur 0 0 4 4 8
80 SemRel nullinteg rel sing 0 0 2 2 8
80 SemRel nullinteg unrel plur 0 0 3 3 8
80 SemRel nullinteg unrel sing 0 0 3 3 8
81 SemRel nullinteg rel plur 0 0 3 3 1
81 SemRel nullinteg rel sing 0 0 4 5 1
81 SemRel nullinteg unrel plur 0 0 4 4 1
81 SemRel nullinteg unrel sing 0 0 4 4 1
82 SemRel nullinteg rel plur 0 0 5 5 2
82 SemRel nullinteg rel sing 0 0 3 3 2
82 SemRel nullinteg unrel plur 0 0 2 2 2
82 SemRel nullinteg unrel sing 0 0 4 4 2
83 SemRel nullinteg rel plur 0 0 2 3 3
83 SemRel nullinteg rel sing 0 0 3 3 3
83 SemRel nullinteg unrel plur 1 1 5 5 3
83 SemRel nullinteg unrel sing 0 0 3 4 3
84 SemRel nullinteg rel plur 0 0 3 3 4
84 SemRel nullinteg rel sing 0 0 4 4 4
84 SemRel nullinteg unrel plur 0 0 4 4 4
84 SemRel nullinteg unrel sing 0 0 3 3 4
85 SemRel nullinteg rel plur 0 0 0 0 5
85 SemRel nullinteg rel sing 0 0 2 3 5
85 SemRel nullinteg unrel plur 0 0 0 0 5
85 SemRel nullinteg unrel sing 0 0 0 0 5
86 SemRel nullinteg rel plur 0 0 4 6 6
86 SemRel nullinteg rel sing 0 0 1 2 6
86 SemRel nullinteg unrel plur 0 0 5 6 6
86 SemRel nullinteg unrel sing 0 0 6 6 6
87 SemRel nullinteg rel plur 0 0 2 2 7
87 SemRel nullinteg rel sing 0 0 2 2 7
87 SemRel nullinteg unrel plur 0 0 0 0 7
87 SemRel nullinteg unrel sing 0 0 1 3 7
88 SemRel nullinteg rel plur 0 0 2 2 8
88 SemRel nullinteg rel sing 0 0 2 2 8
88 SemRel nullinteg unrel plur 0 0 2 3 8
88 SemRel nullinteg unrel sing 0 0 4 4 8
89 SemRel nullinteg rel plur 0 0 2 2 1
89 SemRel nullinteg rel sing 0 0 3 3 1
89 SemRel nullinteg unrel plur 0 0 3 3 1
89 SemRel nullinteg unrel sing 0 0 5 5 1
90 SemRel nullinteg rel plur 0 0 4 6 2
90 SemRel nullinteg rel sing 0 0 2 3 2
90 SemRel nullinteg unrel plur 0 0 2 3 2
90 SemRel nullinteg unrel sing 0 0 2 3 2
91 SemRel nullinteg rel plur 0 0 4 4 3
91 SemRel nullinteg rel sing 0 0 2 2 3
91 SemRel nullinteg unrel plur 0 0 2 2 3
91 SemRel nullinteg unrel sing 0 0 4 4 3
92 SemRel nullinteg rel plur 0 0 2 2 4
92 SemRel nullinteg rel sing 0 0 5 5 4
92 SemRel nullinteg unrel plur 0 0 3 3 4
92 SemRel nullinteg unrel sing 0 0 4 4 4
93 SemRel nullinteg rel plur 0 0 4 4 5
93 SemRel nullinteg rel sing 0 0 2 2 5
93 SemRel nullinteg unrel plur 0 0 3 3 5
93 SemRel nullinteg unrel sing 0 0 5 5 5
94 SemRel nullinteg rel plur 0 0 4 4 6
94 SemRel nullinteg rel sing 0 0 1 1 6
94 SemRel nullinteg unrel plur 0 0 3 3 6
94 SemRel nullinteg unrel sing 0 0 4 5 6
95 SemRel nullinteg rel plur 1 1 1 1 7
95 SemRel nullinteg rel sing 0 0 1 1 7
95 SemRel nullinteg unrel plur 1 1 1 1 7
95 SemRel nullinteg unrel sing 0 1 2 4 7
96 SemRel nullinteg rel plur 0 0 2 2 8
96 SemRel nullinteg rel sing 1 1 1 1 8
96 SemRel nullinteg unrel plur 0 0 1 1 8
96 SemRel nullinteg unrel sing 0 0 2 2 8
97 SemRel nullinteg rel plur 1 1 4 4 1
97 SemRel nullinteg rel sing 0 0 4 4 1
97 SemRel nullinteg unrel plur 1 1 2 2 1
97 SemRel nullinteg unrel sing 0 0 4 4 1
98 SemRel nullinteg rel plur 0 0 2 2 2
98 SemRel nullinteg rel sing 0 0 1 1 2
98 SemRel nullinteg unrel plur 0 0 1 2 2
98 SemRel nullinteg unrel sing 0 0 2 2 2
99 SemRel nullinteg rel plur 1 1 3 3 3
99 SemRel nullinteg rel sing 0 0 3 3 3
99 SemRel nullinteg unrel plur 1 1 2 2 3
99 SemRel nullinteg unrel sing 0 0 3 3 3
100 SemRel nullinteg rel plur 1 1 4 4 4
100 SemRel nullinteg rel sing 0 0 4 4 4
100 SemRel nullinteg unrel plur 0 0 3 3 4
100 SemRel nullinteg unrel sing 0 0 6 6 4
101 SemRel nullinteg rel plur 0 0 1 1 5
101 SemRel nullinteg rel sing 0 0 3 3 5
101 SemRel nullinteg unrel plur 0 0 3 3 5
101 SemRel nullinteg unrel sing 0 0 2 2 5
102 SemRel nullinteg rel plur 0 0 2 2 6
102 SemRel nullinteg rel sing 0 0 2 2 6
102 SemRel nullinteg unrel plur 0 0 2 2 6
102 SemRel nullinteg unrel sing 0 0 1 1 6
103 SemRel nullinteg rel plur 0 0 3 3 7
103 SemRel nullinteg rel sing 0 0 5 5 7
103 SemRel nullinteg unrel plur 0 0 3 4 7
103 SemRel nullinteg unrel sing 0 0 6 6 7
104 SemRel nullinteg rel plur 0 0 1 1 8
104 SemRel nullinteg rel sing 0 0 3 3 8
104 SemRel nullinteg unrel plur 0 0 3 3 8
104 SemRel nullinteg unrel sing 0 0 4 4 8
105 SemRel nullinteg rel plur 0 0 1 1 1
105 SemRel nullinteg rel sing 0 0 3 3 1
105 SemRel nullinteg unrel plur 0 0 1 1 1
105 SemRel nullinteg unrel sing 0 0 5 5 1
106 SemRel nullinteg rel plur 0 0 1 1 2
106 SemRel nullinteg rel sing 0 0 2 3 2
106 SemRel nullinteg unrel plur 0 0 1 1 2
106 SemRel nullinteg unrel sing 0 0 2 2 2
107 SemRel nullinteg rel plur 0 0 5 5 3
107 SemRel nullinteg rel sing 0 0 5 5 3
107 SemRel nullinteg unrel plur 0 0 2 3 3
107 SemRel nullinteg unrel sing 0 0 5 5 3
108 SemRel nullinteg rel plur 0 0 1 1 4
108 SemRel nullinteg rel sing 0 0 5 5 4
108 SemRel nullinteg unrel plur 0 0 1 1 4
108 SemRel nullinteg unrel sing 0 0 1 1 4
109 SemRel nullinteg rel plur 0 0 2 2 5
109 SemRel nullinteg rel sing 0 0 3 5 5
109 SemRel nullinteg unrel plur 0 0 3 4 5
109 SemRel nullinteg unrel sing 0 0 4 5 5
110 SemRel nullinteg rel plur 0 0 3 3 6
110 SemRel nullinteg rel sing 0 0 4 4 6
110 SemRel nullinteg unrel plur 1 1 4 5 6
110 SemRel nullinteg unrel sing 0 0 1 2 6
111 SemRel nullinteg rel plur 0 0 1 1 7
111 SemRel nullinteg rel sing 0 0 2 2 7
111 SemRel nullinteg unrel plur 0 0 1 1 7
111 SemRel nullinteg unrel sing 0 0 4 4 7
113 SemRel nullinteg rel plur 0 0 3 3 1
113 SemRel nullinteg rel sing 0 0 4 5 1
113 SemRel nullinteg unrel plur 0 0 4 4 1
113 SemRel nullinteg unrel sing 0 0 2 2 1
114 SemRel nullinteg rel plur 1 1 5 5 2
114 SemRel nullinteg rel sing 0 0 2 2 2
114 SemRel nullinteg unrel plur 0 0 4 4 2
114 SemRel nullinteg unrel sing 0 0 4 4 2
115 SemRel nullinteg rel plur 0 1 1 3 3
115 SemRel nullinteg rel sing 0 0 0 1 3
115 SemRel nullinteg unrel plur 0 0 3 3 3
115 SemRel nullinteg unrel sing 0 0 2 5 3
116 SemRel nullinteg rel plur 0 0 0 0 4
116 SemRel nullinteg rel sing 0 0 3 3 4
116 SemRel nullinteg unrel plur 0 0 1 2 4
116 SemRel nullinteg unrel sing 0 0 4 4 4
117 SemRel nullinteg rel plur 1 2 4 5 5
117 SemRel nullinteg rel sing 0 0 2 5 5
117 SemRel nullinteg unrel plur 0 0 3 5 5
117 SemRel nullinteg unrel sing 0 0 4 5 5
118 SemRel nullinteg rel plur 0 1 1 2 6
118 SemRel nullinteg rel sing 0 0 0 1 6
118 SemRel nullinteg unrel plur 0 0 2 2 6
118 SemRel nullinteg unrel sing 0 0 0 1 6
119 SemRel nullinteg rel plur 0 2 2 4 7
119 SemRel nullinteg rel sing 0 0 1 2 7
119 SemRel nullinteg unrel plur 1 2 2 3 7
119 SemRel nullinteg unrel sing 0 0 1 2 7
120 SemRel nullinteg rel plur 0 0 2 2 8
120 SemRel nullinteg rel sing 0 0 3 3 8
120 SemRel nullinteg unrel plur 0 0 2 2 8
120 SemRel nullinteg unrel sing 0 0 1 1 8
122 SemRel nullinteg rel plur 1 1 4 5 2
122 SemRel nullinteg rel sing 0 0 3 3 2
122 SemRel nullinteg unrel plur 0 0 4 4 2
122 SemRel nullinteg unrel sing 0 0 1 2 2
123 SemRel nullinteg rel plur 1 1 2 2 3
123 SemRel nullinteg rel sing 0 0 1 1 3
123 SemRel nullinteg unrel plur 2 2 2 2 3
123 SemRel nullinteg unrel sing 0 0 3 3 3
124 SemRel nullinteg rel plur 0 0 3 4 4
124 SemRel nullinteg rel sing 0 0 2 5 4
124 SemRel nullinteg unrel plur 0 0 3 4 4
124 SemRel nullinteg unrel sing 0 0 5 5 4
125 SemRel nullinteg rel plur 0 0 2 4 5
125 SemRel nullinteg rel sing 0 0 1 1 5
125 SemRel nullinteg unrel plur 0 0 4 5 5
125 SemRel nullinteg unrel sing 0 0 3 3 5
126 SemRel nullinteg rel plur 0 0 2 2 6
126 SemRel nullinteg rel sing 0 0 5 5 6
126 SemRel nullinteg unrel plur 0 1 3 4 6
126 SemRel nullinteg unrel sing 0 0 4 5 6
127 SemRel nullinteg rel plur 1 1 4 4 7
127 SemRel nullinteg rel sing 0 0 1 1 7
127 SemRel nullinteg unrel plur 0 0 3 3 7
127 SemRel nullinteg unrel sing 0 0 3 3 7
128 SemRel nullinteg rel plur 1 1 2 3 8
128 SemRel nullinteg rel sing 0 0 1 2 8
128 SemRel nullinteg unrel plur 3 3 4 4 8
128 SemRel nullinteg unrel sing 0 0 2 2 8
129 SemRel nullinteg rel plur 0 0 0 0 1
129 SemRel nullinteg rel sing 0 0 3 4 1
129 SemRel nullinteg unrel plur 1 1 2 3 1
129 SemRel nullinteg unrel sing 0 0 2 3 1
130 SemRel nullinteg rel plur 0 0 6 6 2
130 SemRel nullinteg rel sing 0 0 3 3 2
130 SemRel nullinteg unrel plur 0 0 2 2 2
130 SemRel nullinteg unrel sing 0 0 1 2 2
131 SemRel nullinteg rel plur 0 0 3 3 3
131 SemRel nullinteg rel sing 0 0 3 3 3
131 SemRel nullinteg unrel plur 0 0 3 3 3
131 SemRel nullinteg unrel sing 0 0 5 5 3
132 SemRel nullinteg rel plur 0 0 2 2 4
132 SemRel nullinteg rel sing 0 0 3 3 4
132 SemRel nullinteg unrel plur 0 0 4 4 4
132 SemRel nullinteg unrel sing 0 0 1 1 4
133 SemRel nullinteg rel plur 1 1 2 2 5
133 SemRel nullinteg rel sing 0 0 1 1 5
133 SemRel nullinteg unrel plur 1 1 2 2 5
133 SemRel nullinteg unrel sing 0 0 1 1 5
134 SemRel nullinteg rel plur 0 0 2 2 6
134 SemRel nullinteg rel sing 0 0 1 1 6
134 SemRel nullinteg unrel plur 0 0 4 4 6
134 SemRel nullinteg unrel sing 0 0 3 3 6
135 SemRel nullinteg rel plur 1 1 4 4 7
