subject,text,exp,integrated,related.x,n2num.x,maincode,dysfluency,integ,len.char,len.phon,len.syll,lf.head,lf.prep,lf.adj,lf.noun,rel.hl,rel.lh,asso,plaus,animacy,LengthChar.Head,LengthChar.Prep,LengthChar.Adj,LengthChar.Noun,LengthPhon.Head,LengthPhon.Prep,LengthPhon.Adj,LengthPhon.Noun,LengthSylHead,LengthSyll.Prep,LengthSyll.Adj,LengthSyll.Noun,Freq1Mil.Head,FreqMil.Prep,FreqMil.Adj,FreqMil.N1,LogFr.Head,LogFreq.Prep,LogFreq.Adj,LogFreq.N1,RelatedHL,RelatedLH,Integrated,Ass..H.L,Ass..L.HP,Ass..L.HS,AssArc.H.L,AssArc.L.HP,AssArc.L.HS,Plausibility
1002,The saxophone beside the ornate pillars,Cat,unint,unrel,plur,C,,-1.011898555,1.815022786,1.606843093,1.574336078,-1.17492643,-1.364168082,-1.305736343,-0.968835903,-1.504752993,-1.680944375,0,3.79,I,9,6,6,7,8,6,5,6,3,2,2,2,1.69,14.96,0.2,0.94,0.43,1.2,0.08,0.29,1.67,1.42,2.58,0,0,0,0,0,0,3.79
1002,The shovel near the cracked buckets,Cat,unint,rel,plur,C,,-0.310797564,0.612012931,-0.271546336,-0.596427444,-0.383493185,-0.741949609,-0.882469344,-0.419586444,-0.377408466,0.21452616,0,5.63,I,6,4,7,7,5,3,5,6,2,1,1,2,6.06,59.14,1.25,2.78,0.85,1.78,0.35,0.58,3.58,4.58,3.42,0,0,0,0,0,0,5.63
1002,The spatula by the greasy sandwich,Cat,unint,unrel,sing,C,,-0.035365032,0.311260467,1.293778188,0.850748237,-1.551799403,0.652678003,-0.349466456,1.038765569,-0.572185269,-1.231070039,0,5.88,I,7,2,6,8,8,3,5,8,3,1,2,2,0.71,1212.84,3.88,21.47,0.23,3.08,0.69,1.35,3.25,2.17,3.75,0,0,0,0,0,0,5.88
1002,The tent near the spooky cavern,Cat,unint,unrel,sing,C,,-0.45268705,-0.590996925,-0.58461124,-0.596427444,0.389096411,-0.741949609,-0.239730567,-0.912016993,-1.014859822,-0.433292884,0,5.17,I,4,4,6,6,4,3,5,6,1,1,2,2,17.39,59.14,4.71,1.1,1.26,1.78,0.76,0.32,2.5,3.5,3.25,0,0,0,0,0,0,5.17
1002,The van near the dented trailers,Cat,unint,unrel,plur,C,,-0.728119582,-0.290244461,-0.271546336,-0.596427444,0.803656682,-0.741949609,-1.321412899,-1.158232268,-0.176729336,-0.48127948,0,5.92,I,3,4,6,8,3,3,6,7,1,1,2,2,29,59.14,0.18,0.55,1.48,1.78,0.07,0.19,3.92,3.42,2.92,0,0,0,0,0,0,5.92
1003,The butterfly by the lively hornets,Cat,unint,rel,plur,C,,-0.870009069,0.612012931,1.606843093,0.850748237,-0.534242374,0.652678003,-0.3337899,-1.196111541,0.21282427,0.21452616,0,4.71,A,9,2,6,7,9,3,6,7,3,1,2,2,4.94,1212.84,4.06,0.49,0.77,3.08,0.7,0.17,4.58,4.58,2.75,0,0,0,0,0,0,4.71
1003,The dorm near the new condos,Cat,unint,rel,plur,C,,-0.385915527,-1.493254316,-1.523805955,-0.596427444,-0.30811859,-0.741949609,2.879903983,-0.893077357,0.265945217,-0.631237592,0,5.79,I,4,4,3,6,4,3,2,6,1,1,1,3,6.84,59.14,555.43,1.12,0.89,1.78,2.75,0.33,4.67,3.17,3.33,0,0,0,0,0,0,5.79
1003,The fork near the plastic lemons,Cat,unint,unrel,plur,C,,-1.011898555,-0.290244461,0.041518569,-0.596427444,-0.119682103,-0.741949609,0.606803431,-0.722620628,-1.557873939,-1.584971184,0,3.88,I,4,4,7,6,4,3,7,6,1,1,2,2,8.8,59.14,18.76,1.65,0.99,1.78,1.3,0.42,1.58,1.58,2.58,0,0,0,0,0,0,3.88
1003,The horse beyond the young rabbit,Cat,unint,rel,sing,C,,-1.771424628,0.010508003,-0.897676145,-0.596427444,1.726995467,-0.945779799,2.284194873,1.019825932,-0.424627085,-0.283334772,0,3.67,A,5,6,5,6,4,5,3,5,1,2,1,2,92.06,38.25,233.1,20.63,1.97,1.59,2.37,1.34,3.5,3.75,1.67,0,0,0,0,0,0,3.67
1003,The kayak beside the large ferry,Cat,unint,rel,sing,C,,-0.594576536,-0.290244461,0.041518569,0.127160397,-1.646017647,-1.364168082,1.077100097,-0.097612623,-0.572185269,-0.235348176,0,4.83,I,5,6,5,5,5,6,5,4,2,2,1,2,0.51,14.96,38.49,4.63,0.18,1.2,1.6,0.75,3.25,3.83,3.08,0,0,0,0,0,0,4.83
