subj	subexpt	semint	related	n2num	errnd	errd	errcornd	errcord
43	Prop	unint	rel	plur	0	0	2	2
43	Prop	unint	rel	sing	0	0	2	2
43	Prop	unint	unrel	plur	0	0	4	4
43	Prop	unint	unrel	sing	0	0	2	2
44	Prop	unint	assoc	plur	0	0	2	2
44	Prop	unint	assoc	sing	0	0	3	3
44	Prop	unint	rel	plur	0	0	2	2
44	Prop	unint	rel	sing	0	0	2	2
44	Prop	unint	unrel	plur	0	0	3	3
44	Prop	unint	unrel	sing	0	0	4	4
46	Prop	unint	assoc	plur	0	0	3	3
46	Prop	unint	assoc	sing	0	0	3	3
46	Prop	unint	rel	plur	0	0	1	1
46	Prop	unint	rel	sing	0	0	2	2
46	Prop	unint	unrel	plur	0	0	3	3
46	Prop	unint	unrel	sing	0	0	3	3
47	Prop	unint	assoc	plur	0	1	2	3
47	Prop	unint	assoc	sing	0	0	3	3
47	Prop	unint	rel	plur	0	0	1	1
47	Prop	unint	rel	sing	0	0	1	1
47	Prop	unint	unrel	plur	0	0	2	2
47	Prop	unint	unrel	sing	0	0	3	3
48	Prop	unint	assoc	plur	0	0	2	2
48	Prop	unint	assoc	sing	0	0	2	2
48	Prop	unint	rel	plur	0	0	3	3
48	Prop	unint	rel	sing	0	0	2	2
48	Prop	unint	unrel	plur	0	0	2	2
48	Prop	unint	unrel	sing	0	0	4	4
49	Prop	unint	assoc	plur	0	0	1	1
49	Prop	unint	assoc	sing	0	0	3	3
49	Prop	unint	rel	plur	0	0	1	1
49	Prop	unint	rel	sing	0	0	4	4
49	Prop	unint	unrel	plur	0	0	1	1
49	Prop	unint	unrel	sing	0	0	1	1
50	Prop	unint	assoc	plur	0	0	1	1
50	Prop	unint	assoc	sing	0	0	4	4
50	Prop	unint	rel	plur	0	0	2	3
50	Prop	unint	rel	sing	0	0	1	1
50	Prop	unint	unrel	plur	0	0	3	3
50	Prop	unint	unrel	sing	0	0	2	2
51	Prop	unint	assoc	plur	1	1	2	2
51	Prop	unint	assoc	sing	0	0	1	2
51	Prop	unint	rel	plur	0	0	2	2
51	Prop	unint	rel	sing	0	0	1	1
51	Prop	unint	unrel	plur	0	0	4	4
51	Prop	unint	unrel	sing	0	0	3	3
52	Prop	unint	assoc	plur	0	0	4	4
52	Prop	unint	assoc	sing	0	0	4	4
52	Prop	unint	rel	plur	0	0	4	4
52	Prop	unint	rel	sing	0	0	3	3
52	Prop	unint	unrel	plur	0	0	3	3
52	Prop	unint	unrel	sing	0	0	4	4
53	Prop	unint	assoc	plur	1	1	4	4
53	Prop	unint	assoc	sing	0	0	3	3
53	Prop	unint	rel	plur	0	0	2	2
53	Prop	unint	rel	sing	0	0	3	3
53	Prop	unint	unrel	plur	1	1	3	3
53	Prop	unint	unrel	sing	0	0	4	4
54	Prop	unint	assoc	plur	0	0	2	2
54	Prop	unint	assoc	sing	0	0	3	3
54	Prop	unint	rel	plur	0	0	3	3
54	Prop	unint	rel	sing	0	0	4	4
54	Prop	unint	unrel	plur	0	0	3	3
54	Prop	unint	unrel	sing	0	0	2	2
55	Prop	unint	assoc	plur	0	0	4	4
55	Prop	unint	assoc	sing	0	0	3	3
55	Prop	unint	rel	plur	0	0	3	3
55	Prop	unint	rel	sing	0	0	3	3
55	Prop	unint	unrel	plur	0	0	3	3
55	Prop	unint	unrel	sing	0	0	4	4
56	Prop	unint	assoc	plur	0	0	4	4
56	Prop	unint	assoc	sing	0	0	3	3
56	Prop	unint	rel	plur	0	0	3	3
56	Prop	unint	rel	sing	0	0	3	3
56	Prop	unint	unrel	plur	0	0	3	3
56	Prop	unint	unrel	sing	0	0	3	3
57	Prop	unint	assoc	plur	0	0	4	4
57	Prop	unint	assoc	sing	0	0	3	3
57	Prop	unint	rel	plur	0	0	2	2
57	Prop	unint	rel	sing	0	0	3	3
57	Prop	unint	unrel	plur	0	0	2	2
57	Prop	unint	unrel	sing	0	0	2	3
58	Prop	unint	assoc	plur	0	0	2	2
58	Prop	unint	assoc	sing	0	0	2	2
58	Prop	unint	rel	plur	0	0	4	4
58	Prop	unint	rel	sing	0	0	3	4
58	Prop	unint	unrel	plur	0	0	3	3
58	Prop	unint	unrel	sing	0	0	2	2
59	Prop	unint	assoc	plur	0	0	4	4
59	Prop	unint	assoc	sing	0	0	3	4
59	Prop	unint	rel	plur	0	0	3	3
59	Prop	unint	rel	sing	0	0	3	3
59	Prop	unint	unrel	plur	0	0	2	2
59	Prop	unint	unrel	sing	0	0	2	2
60	Prop	unint	assoc	plur	0	0	0	0
60	Prop	unint	assoc	sing	0	0	2	2
60	Prop	unint	rel	plur	0	0	3	4
60	Prop	unint	rel	sing	0	0	3	3
60	Prop	unint	unrel	plur	0	0	1	2
60	Prop	unint	unrel	sing	0	0	3	3
61	Prop	unint	assoc	plur	0	0	2	2
61	Prop	unint	assoc	sing	0	0	2	2
61	Prop	unint	rel	plur	0	0	0	1
61	Prop	unint	rel	sing	0	0	3	3
61	Prop	unint	unrel	plur	0	0	1	1
61	Prop	unint	unrel	sing	0	0	0	0
62	Prop	unint	assoc	plur	1	1	2	3
62	Prop	unint	assoc	sing	0	0	3	3
62	Prop	unint	rel	plur	0	0	0	0
62	Prop	unint	rel	sing	0	0	2	2
62	Prop	unint	unrel	plur	0	0	1	1
62	Prop	unint	unrel	sing	0	0	4	4
63	Prop	unint	assoc	plur	0	0	3	3
63	Prop	unint	assoc	sing	0	0	4	4
63	Prop	unint	rel	plur	0	0	2	3
63	Prop	unint	rel	sing	0	0	3	3
63	Prop	unint	unrel	plur	0	0	4	4
63	Prop	unint	unrel	sing	0	0	4	4
64	Prop	unint	assoc	plur	1	1	4	4
64	Prop	unint	assoc	sing	0	0	2	2
64	Prop	unint	rel	plur	0	0	2	2
64	Prop	unint	rel	sing	0	0	3	3
64	Prop	unint	unrel	plur	0	0	3	3
64	Prop	unint	unrel	sing	0	0	1	1
65	Prop	unint	assoc	plur	0	0	0	0
65	Prop	unint	assoc	sing	0	0	0	0
65	Prop	unint	rel	plur	0	0	3	3
65	Prop	unint	rel	sing	0	0	2	2
65	Prop	unint	unrel	plur	0	0	2	2
65	Prop	unint	unrel	sing	0	0	3	3
66	Prop	unint	assoc	plur	0	0	2	2
66	Prop	unint	assoc	sing	0	0	4	4
66	Prop	unint	rel	plur	0	0	3	3
66	Prop	unint	rel	sing	0	0	4	4
66	Prop	unint	unrel	plur	1	1	4	4
66	Prop	unint	unrel	sing	0	0	4	4
67	Prop	unint	assoc	plur	0	0	2	2
67	Prop	unint	assoc	sing	0	0	4	4
67	Prop	unint	rel	plur	0	0	3	3
67	Prop	unint	rel	sing	0	0	2	2
67	Prop	unint	unrel	plur	0	0	1	1
67	Prop	unint	unrel	sing	0	0	3	3
68	Prop	unint	assoc	plur	0	0	3	3
68	Prop	unint	assoc	sing	0	0	4	4
68	Prop	unint	rel	plur	0	0	4	4
68	Prop	unint	rel	sing	0	0	4	4
68	Prop	unint	unrel	plur	0	0	3	3
68	Prop	unint	unrel	sing	0	0	3	3
69	Prop	unint	assoc	plur	1	1	4	4
69	Prop	unint	assoc	sing	0	0	2	4
69	Prop	unint	rel	plur	0	0	3	3
69	Prop	unint	rel	sing	0	0	3	3
69	Prop	unint	unrel	plur	0	0	2	2
69	Prop	unint	unrel	sing	0	0	3	3
70	Prop	unint	assoc	plur	1	1	3	3
70	Prop	unint	assoc	sing	0	0	2	2
70	Prop	unint	rel	plur	0	0	1	1
70	Prop	unint	rel	sing	0	0	1	1
70	Prop	unint	unrel	plur	0	0	3	3
70	Prop	unint	unrel	sing	0	0	2	2
71	Prop	unint	assoc	plur	0	0	1	1
71	Prop	unint	assoc	sing	0	0	1	1
71	Prop	unint	rel	plur	0	0	3	3
71	Prop	unint	rel	sing	0	0	0	0
71	Prop	unint	unrel	plur	0	0	1	1
71	Prop	unint	unrel	sing	0	0	2	3
72	Prop	unint	assoc	plur	0	0	0	0
72	Prop	unint	assoc	sing	0	0	1	2
72	Prop	unint	rel	plur	0	0	0	0
72	Prop	unint	rel	sing	0	0	1	1
72	Prop	unint	unrel	plur	0	0	1	1
72	Prop	unint	unrel	sing	0	0	1	1
73	Prop	unint	assoc	plur	0	0	3	3
73	Prop	unint	assoc	sing	0	0	1	1
73	Prop	unint	rel	plur	0	0	2	3
73	Prop	unint	rel	sing	0	0	2	2
73	Prop	unint	unrel	plur	0	0	3	3
73	Prop	unint	unrel	sing	0	0	2	2
74	Prop	unint	assoc	plur	0	0	4	4
74	Prop	unint	assoc	sing	0	0	3	3
74	Prop	unint	rel	plur	0	0	4	4
74	Prop	unint	rel	sing	0	0	3	3
74	Prop	unint	unrel	plur	0	0	4	4
74	Prop	unint	unrel	sing	0	0	4	4
75	Prop	unint	assoc	plur	0	0	0	0
75	Prop	unint	assoc	sing	0	0	1	1
75	Prop	unint	rel	plur	0	0	1	1
75	Prop	unint	rel	sing	0	0	2	3
75	Prop	unint	unrel	plur	0	0	3	4
75	Prop	unint	unrel	sing	0	0	1	1
76	Prop	unint	assoc	plur	0	0	2	2
76	Prop	unint	assoc	sing	0	0	3	3
76	Prop	unint	rel	plur	0	0	2	2
76	Prop	unint	rel	sing	0	0	3	3
76	Prop	unint	unrel	plur	0	0	4	4
76	Prop	unint	unrel	sing	0	0	3	3
77	Prop	unint	assoc	plur	0	0	1	1
77	Prop	unint	assoc	sing	0	0	2	2
77	Prop	unint	rel	plur	0	0	3	3
77	Prop	unint	rel	sing	0	0	2	2
77	Prop	unint	unrel	plur	0	0	4	4
77	Prop	unint	unrel	sing	0	0	1	1
78	Prop	unint	assoc	plur	0	0	2	2
78	Prop	unint	assoc	sing	0	0	4	4
78	Prop	unint	rel	plur	0	0	4	4
78	Prop	unint	rel	sing	0	0	4	4
78	Prop	unint	unrel	plur	0	0	4	4
78	Prop	unint	unrel	sing	0	0	3	3
80	Prop	unint	assoc	plur	0	0	2	2
80	Prop	unint	assoc	sing	0	0	2	3
80	Prop	unint	rel	plur	0	0	1	1
80	Prop	unint	rel	sing	0	0	1	1
80	Prop	unint	unrel	plur	0	0	4	4
80	Prop	unint	unrel	sing	0	0	2	2
81	Prop	unint	assoc	plur	0	0	1	1
81	Prop	unint	assoc	sing	0	0	2	3
81	Prop	unint	rel	plur	0	0	0	0
81	Prop	unint	rel	sing	0	0	0	0
81	Prop	unint	unrel	plur	0	0	0	0
81	Prop	unint	unrel	sing	0	0	2	2
82	Prop	unint	assoc	plur	0	0	1	1
82	Prop	unint	assoc	sing	0	0	3	3
82	Prop	unint	rel	plur	0	0	3	3
82	Prop	unint	rel	sing	0	0	4	4
82	Prop	unint	unrel	plur	0	0	2	3
82	Prop	unint	unrel	sing	0	0	2	3
83	Prop	unint	assoc	plur	1	1	2	2
83	Prop	unint	assoc	sing	0	0	1	1
83	Prop	unint	rel	plur	0	0	2	2
83	Prop	unint	rel	sing	0	0	0	1
83	Prop	unint	unrel	plur	0	0	0	0
83	Prop	unint	unrel	sing	0	0	3	3
84	Prop	unint	assoc	plur	0	0	2	2
84	Prop	unint	assoc	sing	0	0	2	2
84	Prop	unint	rel	plur	0	0	2	3
84	Prop	unint	rel	sing	0	0	2	2
84	Prop	unint	unrel	plur	0	0	2	3
84	Prop	unint	unrel	sing	0	0	0	0
85	Prop	unint	assoc	plur	0	0	3	3
85	Prop	unint	assoc	sing	0	0	0	2
85	Prop	unint	rel	plur	0	0	2	2
85	Prop	unint	rel	sing	0	0	3	3
85	Prop	unint	unrel	plur	0	0	2	2
85	Prop	unint	unrel	sing	0	0	2	2
86	Prop	unint	assoc	plur	0	0	3	3
