item	subexp	integ	related	n2num	errnod	errd	errcornd	errcord	list
12	SemRel	integ	rel	sing	0	0	18	19	4
12	SemRel	integ	unrel	plur	1	2	12	14	7
12	SemRel	integ	unrel	sing	0	0	8	11	6
12	SemRel	unint	rel	plur	1	1	6	7	1
12	SemRel	unint	rel	sing	0	0	9	9	8
12	SemRel	unint	unrel	plur	1	1	10	11	3
12	SemRel	unint	unrel	sing	0	0	7	9	2
13	SemRel	integ	rel	plur	0	0	10	10	6
13	SemRel	integ	rel	sing	0	0	10	12	5
13	SemRel	integ	unrel	plur	3	3	8	9	8
13	SemRel	integ	unrel	sing	0	0	14	16	7
13	SemRel	unint	rel	plur	0	0	4	8	2
13	SemRel	unint	rel	sing	0	0	14	18	1
13	SemRel	unint	unrel	plur	1	1	19	19	4
13	SemRel	unint	unrel	sing	0	0	13	16	3
14	SemRel	integ	rel	plur	1	1	9	11	6
14	SemRel	integ	rel	sing	0	0	9	9	5
14	SemRel	integ	unrel	plur	0	0	7	10	8
14	SemRel	integ	unrel	sing	0	0	10	11	7
14	SemRel	unint	rel	plur	1	1	9	11	2
14	SemRel	unint	rel	sing	0	0	8	8	1
14	SemRel	unint	unrel	plur	0	0	5	5	4
14	SemRel	unint	unrel	sing	0	0	8	10	3
15	SemRel	integ	rel	plur	0	1	14	15	6
15	SemRel	integ	rel	sing	0	0	20	21	5
15	SemRel	integ	unrel	plur	1	1	16	17	8
15	SemRel	integ	unrel	sing	1	1	18	21	7
15	SemRel	unint	rel	plur	1	1	18	20	2
15	SemRel	unint	rel	sing	0	0	22	24	1
15	SemRel	unint	unrel	plur	0	0	18	18	4
15	SemRel	unint	unrel	sing	0	0	21	23	3
16	SemRel	integ	rel	plur	5	6	11	13	7
16	SemRel	integ	rel	sing	0	0	10	12	6
16	SemRel	integ	unrel	plur	3	4	10	11	1
16	SemRel	integ	unrel	sing	0	0	8	9	8
16	SemRel	unint	rel	plur	1	3	15	18	3
16	SemRel	unint	rel	sing	0	0	14	17	2
16	SemRel	unint	unrel	plur	1	1	17	18	5
16	SemRel	unint	unrel	sing	0	0	21	21	4
17	SemRel	integ	rel	plur	0	0	8	8	7
17	SemRel	integ	rel	sing	0	0	9	12	6
17	SemRel	integ	unrel	plur	0	0	9	9	1
17	SemRel	integ	unrel	sing	0	0	8	9	8
17	SemRel	unint	rel	plur	0	0	7	7	3
17	SemRel	unint	rel	sing	0	0	5	6	2
17	SemRel	unint	unrel	plur	0	0	9	11	5
17	SemRel	unint	unrel	sing	0	0	13	13	4
18	SemRel	integ	rel	plur	1	3	17	20	7
18	SemRel	integ	rel	sing	0	0	19	20	6
18	SemRel	integ	unrel	plur	0	0	19	19	1
18	SemRel	integ	unrel	sing	0	0	19	19	8
18	SemRel	unint	rel	plur	2	2	22	23	3
18	SemRel	unint	rel	sing	0	0	26	26	2
18	SemRel	unint	unrel	plur	0	0	22	23	5
18	SemRel	unint	unrel	sing	0	0	26	26	4
19	SemRel	integ	rel	plur	1	2	12	14	8
19	SemRel	integ	rel	sing	0	0	18	19	7
19	SemRel	integ	unrel	plur	2	2	17	17	2
19	SemRel	integ	unrel	sing	0	0	20	22	1
19	SemRel	unint	rel	plur	0	0	13	13	4
19	SemRel	unint	rel	sing	0	0	22	24	3
19	SemRel	unint	unrel	plur	0	0	18	18	6
19	SemRel	unint	unrel	sing	0	0	21	21	5
20	SemRel	integ	rel	plur	2	2	10	11	8
20	SemRel	integ	rel	sing	0	0	10	11	7
20	SemRel	integ	unrel	plur	0	0	6	8	2
20	SemRel	integ	unrel	sing	0	0	14	17	1
20	SemRel	unint	rel	plur	0	0	11	13	4
20	SemRel	unint	rel	sing	0	0	7	7	3
20	SemRel	unint	unrel	plur	1	1	12	15	6
20	SemRel	unint	unrel	sing	0	0	17	19	5
21	SemRel	integ	rel	plur	0	0	5	6	8
21	SemRel	integ	rel	sing	0	0	8	8	7
21	SemRel	integ	unrel	plur	0	0	7	7	2
21	SemRel	integ	unrel	sing	0	0	10	11	1
21	SemRel	unint	rel	plur	1	1	6	8	4
21	SemRel	unint	rel	sing	0	0	9	10	3
21	SemRel	unint	unrel	plur	0	1	8	11	6
21	SemRel	unint	unrel	sing	0	0	5	8	5
22	SemRel	integ	rel	plur	1	1	12	12	1
22	SemRel	integ	rel	sing	0	0	11	13	8
22	SemRel	integ	unrel	plur	0	0	11	11	3
22	SemRel	integ	unrel	sing	0	0	10	10	2
22	SemRel	unint	rel	plur	1	1	10	12	5
22	SemRel	unint	rel	sing	0	0	12	13	4
22	SemRel	unint	unrel	plur	0	0	8	8	7
22	SemRel	unint	unrel	sing	0	0	11	12	6
23	SemRel	integ	rel	plur	0	0	14	15	1
23	SemRel	integ	rel	sing	0	0	13	14	8
23	SemRel	integ	unrel	plur	0	0	13	14	3
23	SemRel	integ	unrel	sing	0	0	12	14	2
23	SemRel	unint	rel	plur	1	1	13	14	5
23	SemRel	unint	rel	sing	0	0	21	23	4
23	SemRel	unint	unrel	plur	0	1	11	15	7
23	SemRel	unint	unrel	sing	0	0	11	13	6
24	SemRel	integ	rel	plur	2	2	17	17	1
24	SemRel	integ	rel	sing	0	0	11	11	8
24	SemRel	integ	unrel	plur	2	2	22	23	3
24	SemRel	integ	unrel	sing	0	0	19	21	2
24	SemRel	unint	rel	plur	1	1	17	17	5
24	SemRel	unint	rel	sing	0	0	18	20	4
24	SemRel	unint	unrel	plur	1	2	15	16	7
24	SemRel	unint	unrel	sing	0	0	14	15	6
